Order_ID,Product,Category,Quantity,Price,City,Date
ORD1001,Backpack,Accessories,1,1629.0,Hyderabad,2026-03-04
ORD1002,Keyboard,Electronics,2,1570.94,Surat,2026-01-23
ORD1003,Book,Books,4,407.86,Mumbai,2026-02-25
ORD1004,Keyboard,Electronics,5,1530.61,Surat,2026-02-20
ORD1005,Tablet,Electronics,5,27549.31,Jaipur,2026-05-31
ORD1006,T-Shirt,Fashion,1,840.36,Delhi,2026-06-28
ORD1007,Watch,Accessories,3,4776.92,Bangalore,2026-03-28
ORD1008,Smartphone,Electronics,1,17567.74,Pune,2026-03-30
ORD1009,Book,Books,3,477.64,Jaipur,2026-05-18
ORD1010,Smartphone,Electronics,4,16483.68,Hyderabad,2026-06-10
ORD1011,Book,Books,3,456.96,Mumbai,2026-01-12
ORD1012,Backpack,Accessories,2,1898.3,Mumbai,2026-03-01
ORD1013,Air Fryer,Home Appliances,1,6344.16,Jaipur,2026-06-12
ORD1014,Air Fryer,Home Appliances,3,6061.45,Pune,2026-02-23
ORD1015,Backpack,Accessories,3,1872.66,Mumbai,2026-06-05
ORD1016,Backpack,Accessories,2,1812.29,Bangalore,2026-02-11
ORD1017,Mixer,Home Appliances,4,3338.96,Surat,2026-02-26
ORD1018,Backpack,Accessories,3,1923.43,Ahmedabad,2026-02-28
ORD1019,Air Fryer,Home Appliances,1,6896.56,Chennai,2026-03-10
ORD1020,Smartphone,Electronics,2,19487.29,Kolkata,2026-03-22
ORD1021,Keyboard,Electronics,4,1468.69,Jaipur,2026-02-06
ORD1022,T-Shirt,Fashion,2,758.51,Surat,2026-05-18
ORD1023,T-Shirt,Fashion,5,787.56,Kolkata,2026-04-13
ORD1024,Shoes,Fashion,2,2747.56,Delhi,2026-05-11
ORD1025,Mixer,Home Appliances,1,3679.05,Mumbai,2026-02-09
ORD1026,Backpack,Accessories,2,1905.15,Chennai,2026-06-02
ORD1027,Smartphone,Electronics,4,17573.83,Jaipur,2026-05-16
ORD1028,T-Shirt,Fashion,5,856.65,Ahmedabad,2026-06-24
ORD1029,Tablet,Electronics,1,29017.58,Surat,2026-03-10
ORD1030,Jeans,Fashion,3,1843.7,Chennai,2026-02-10
ORD1031,Mixer,Home Appliances,1,3817.67,Hyderabad,2026-05-09
ORD1032,Jeans,Fashion,2,2002.07,Mumbai,2026-06-10
ORD1033,T-Shirt,Fashion,5,816.41,Delhi,2026-04-06
ORD1034,Jeans,Fashion,2,2014.74,Surat,2026-01-01
ORD1035,Book,Books,3,448.97,Mumbai,2026-04-03
ORD1036,Air Fryer,Home Appliances,3,6161.29,Bangalore,2026-05-26
ORD1037,Smartphone,Electronics,1,18834.87,Mumbai,2026-05-17
ORD1038,Jeans,Fashion,2,1850.43,Jaipur,2026-05-21
ORD1039,Headphones,Electronics,3,2212.18,Kolkata,2026-04-19
ORD1040,Keyboard,Electronics,5,1576.58,Bangalore,2026-03-21
ORD1041,Watch,Accessories,3,4937.11,Surat,2026-04-26
ORD1042,Smartphone,Electronics,2,17008.91,Pune,2026-01-06
ORD1043,Book,Books,5,425.71,Bangalore,2026-01-02
ORD1044,Smartphone,Electronics,1,17024.19,Ahmedabad,2026-03-26
ORD1045,Smartphone,Electronics,5,17056.82,Jaipur,2026-02-24
ORD1046,Coffee Maker,Home Appliances,2,4387.62,Kolkata,2026-05-28
ORD1047,Mixer,Home Appliances,2,3699.23,Chennai,2026-02-18
ORD1048,Smartphone,Electronics,1,18572.34,Pune,2026-04-19
ORD1049,Watch,Accessories,4,5362.76,Ahmedabad,2026-06-22
ORD1050,Backpack,Accessories,1,1641.82,Pune,2026-01-28
ORD1051,Keyboard,Electronics,2,1407.06,Jaipur,2026-02-05
ORD1052,Watch,Accessories,2,4777.59,Bangalore,2026-01-20
ORD1053,Mixer,Home Appliances,5,3218.54,Surat,2026-01-04
ORD1054,Smartphone,Electronics,2,16798.72,Jaipur,2026-05-04
ORD1055,Keyboard,Electronics,4,1620.73,Delhi,2026-04-08
ORD1056,Laptop,Electronics,4,52417.23,Jaipur,2026-03-15
ORD1057,Watch,Accessories,5,5160.84,Jaipur,2026-02-09
ORD1058,Keyboard,Electronics,3,1415.31,Ahmedabad,2026-05-29
ORD1059,Tablet,Electronics,5,25541.36,Pune,2026-01-15
ORD1060,Laptop,Electronics,5,54744.67,Surat,2026-02-10
ORD1061,Laptop,Electronics,5,50381.23,Delhi,2026-01-18
ORD1062,Book,Books,1,465.77,Bangalore,2026-04-14
ORD1063,Smartphone,Electronics,5,17086.38,Kolkata,2026-01-11
ORD1064,Book,Books,1,442.73,Kolkata,2026-05-25
ORD1065,Coffee Maker,Home Appliances,3,4565.15,Bangalore,2026-06-21
ORD1066,Tablet,Electronics,3,26536.64,Chennai,2026-02-03
ORD1067,Backpack,Accessories,3,1784.6,Mumbai,2026-01-03
ORD1068,Mixer,Home Appliances,5,3848.92,Mumbai,2026-01-19
ORD1069,Coffee Maker,Home Appliances,2,4204.94,Delhi,2026-03-31
ORD1070,Smartphone,Electronics,2,17530.3,Delhi,2026-04-23
ORD1071,Air Fryer,Home Appliances,5,6764.6,Kolkata,2026-06-17
ORD1072,Coffee Maker,Home Appliances,1,4341.01,Surat,2026-03-18
ORD1073,Backpack,Accessories,1,1958.01,Delhi,2026-03-09
ORD1074,Smartphone,Electronics,1,18872.7,Delhi,2026-03-11
ORD1075,T-Shirt,Fashion,5,752.76,Pune,2026-02-22
ORD1076,Backpack,Accessories,3,1801.95,Hyderabad,2026-01-14
ORD1077,Smartphone,Electronics,4,19185.65,Ahmedabad,2026-01-01
ORD1078,Shoes,Fashion,2,2567.53,Hyderabad,2026-02-11
ORD1079,Tablet,Electronics,4,28289.41,Chennai,2026-05-24
ORD1080,Laptop,Electronics,1,50327.68,Delhi,2026-05-20
ORD1081,Laptop,Electronics,3,55907.61,Delhi,2026-04-21
ORD1082,Headphones,Electronics,1,2115.63,Ahmedabad,2026-04-02
ORD1083,Keyboard,Electronics,2,1550.08,Pune,2026-05-24
ORD1084,Air Fryer,Home Appliances,4,7115.99,Delhi,2026-03-02
ORD1085,Air Fryer,Home Appliances,2,7119.07,Delhi,2026-04-16
ORD1086,Laptop,Electronics,2,57602.21,Pune,2026-04-16
ORD1087,Jeans,Fashion,2,1905.77,Mumbai,2026-04-08
ORD1088,Air Fryer,Home Appliances,1,6966.17,Bangalore,2026-02-21
ORD1089,Air Fryer,Home Appliances,4,6304.56,Bangalore,2026-02-27
ORD1090,Laptop,Electronics,2,53883.13,Hyderabad,2026-01-18
ORD1091,Jeans,Fashion,3,1939.49,Surat,2026-04-13
ORD1092,Backpack,Accessories,5,1739.21,Ahmedabad,2026-01-30
ORD1093,T-Shirt,Fashion,2,811.88,Hyderabad,2026-01-10
ORD1094,Smartphone,Electronics,5,17764.43,Pune,2026-04-22
ORD1095,Book,Books,5,415.41,Kolkata,2026-02-18
ORD1096,T-Shirt,Fashion,1,832.36,Ahmedabad,2026-05-14
ORD1097,Jeans,Fashion,5,2073.71,Bangalore,2026-04-04
ORD1098,Watch,Accessories,1,5447.78,Pune,2026-06-09
ORD1099,Shoes,Fashion,1,2608.83,Hyderabad,2026-05-10
ORD1100,T-Shirt,Fashion,4,771.22,Hyderabad,2026-05-22
ORD1101,Headphones,Electronics,2,2165.0,Chennai,2026-06-23
ORD1102,Tablet,Electronics,2,28646.88,Hyderabad,2026-04-14
ORD1103,Coffee Maker,Home Appliances,1,4035.25,Bangalore,2026-04-21
ORD1104,Jeans,Fashion,5,2041.64,Pune,2026-04-30
ORD1105,Mixer,Home Appliances,4,3622.94,Surat,2026-05-02
ORD1106,Jeans,Fashion,2,2062.51,Hyderabad,2026-05-12
ORD1107,Backpack,Accessories,5,1740.67,Bangalore,2026-06-22
ORD1108,T-Shirt,Fashion,2,847.99,Delhi,2026-01-07
ORD1109,Laptop,Electronics,2,60323.3,Kolkata,2026-01-19
ORD1110,Mixer,Home Appliances,4,3770.3,Kolkata,2026-02-19
ORD1111,Tablet,Electronics,4,27968.51,Bangalore,2026-02-07
ORD1112,Backpack,Accessories,1,1941.36,Mumbai,2026-04-19
ORD1113,Keyboard,Electronics,2,1591.23,Surat,2026-04-29
ORD1114,Laptop,Electronics,5,52241.18,Mumbai,2026-04-27
ORD1115,Headphones,Electronics,4,2273.73,Surat,2026-06-02
ORD1116,Shoes,Fashion,4,2555.3,Surat,2026-04-20
ORD1117,Air Fryer,Home Appliances,5,6429.69,Delhi,2026-05-02
ORD1118,Mixer,Home Appliances,3,3676.24,Hyderabad,2026-05-14
ORD1119,Mixer,Home Appliances,2,3342.22,Mumbai,2026-03-15
ORD1120,Keyboard,Electronics,3,1450.75,Surat,2026-01-21
ORD1121,Headphones,Electronics,2,2081.76,Delhi,2026-02-24
ORD1122,Smartphone,Electronics,4,17667.36,Surat,2026-04-30
ORD1123,Watch,Accessories,1,4705.89,Chennai,2026-04-10
ORD1124,Jeans,Fashion,5,2177.34,Ahmedabad,2026-05-28
ORD1125,Watch,Accessories,4,4504.99,Pune,2026-03-18
ORD1126,Jeans,Fashion,4,2140.31,Chennai,2026-05-18
ORD1127,Tablet,Electronics,5,29679.26,Bangalore,2026-05-05
ORD1128,Keyboard,Electronics,3,1480.75,Ahmedabad,2026-04-10
ORD1129,Shoes,Fashion,4,2611.05,Jaipur,2026-02-02
ORD1130,Book,Books,5,407.43,Chennai,2026-06-01
ORD1131,Book,Books,1,412.56,Chennai,2026-02-04
ORD1132,Air Fryer,Home Appliances,4,6086.25,Hyderabad,2026-04-08
ORD1133,Shoes,Fashion,2,2476.36,Pune,2026-04-08
ORD1134,T-Shirt,Fashion,4,759.41,Mumbai,2026-05-01
ORD1135,Laptop,Electronics,5,50072.94,Pune,2026-02-27
ORD1136,Backpack,Accessories,1,1901.24,Ahmedabad,2026-01-08
ORD1137,Keyboard,Electronics,2,1601.77,Kolkata,2026-02-09
ORD1138,Keyboard,Electronics,2,1492.07,Mumbai,2026-05-25
ORD1139,Keyboard,Electronics,4,1559.84,Pune,2026-02-12
ORD1140,Book,Books,5,491.74,Mumbai,2026-02-11
ORD1141,T-Shirt,Fashion,1,811.57,Hyderabad,2026-05-28
ORD1142,Backpack,Accessories,4,1762.8,Bangalore,2026-01-20
ORD1143,Book,Books,2,414.17,Hyderabad,2026-06-25
ORD1144,Book,Books,1,476.66,Kolkata,2026-01-11
ORD1145,Shoes,Fashion,5,2463.2,Pune,2026-01-18
ORD1146,Coffee Maker,Home Appliances,3,3790.63,Chennai,2026-05-06
ORD1147,Smartphone,Electronics,4,19658.84,Jaipur,2026-02-09
ORD1148,Watch,Accessories,2,5232.75,Hyderabad,2026-06-07
ORD1149,Jeans,Fashion,5,2108.8,Jaipur,2026-04-22
ORD1150,Air Fryer,Home Appliances,5,6198.91,Bangalore,2026-01-23
ORD1151,T-Shirt,Fashion,4,758.07,Jaipur,2026-05-26
ORD1152,Book,Books,4,435.28,Jaipur,2026-03-25
ORD1153,Headphones,Electronics,4,2073.33,Hyderabad,2026-03-29
ORD1154,T-Shirt,Fashion,5,831.15,Hyderabad,2026-05-23
ORD1155,Laptop,Electronics,5,59928.69,Mumbai,2026-03-03
ORD1156,Tablet,Electronics,4,27936.04,Bangalore,2026-06-26
ORD1157,Mixer,Home Appliances,4,3463.72,Ahmedabad,2026-01-24
ORD1158,T-Shirt,Fashion,2,783.72,Bangalore,2026-03-20
ORD1159,Backpack,Accessories,5,1752.85,Surat,2026-05-16
ORD1160,Shoes,Fashion,4,2747.22,Surat,2026-03-26
ORD1161,Shoes,Fashion,4,2384.5,Hyderabad,2026-03-01
ORD1162,Smartphone,Electronics,2,17335.97,Surat,2026-06-26
ORD1163,Headphones,Electronics,2,2075.21,Jaipur,2026-03-12
ORD1164,Tablet,Electronics,5,30669.0,Surat,2026-06-02
ORD1165,T-Shirt,Fashion,1,852.15,Hyderabad,2026-02-28
ORD1166,Shoes,Fashion,2,2400.17,Surat,2026-02-02
ORD1167,T-Shirt,Fashion,1,874.79,Surat,2026-03-16
ORD1168,Tablet,Electronics,2,28772.07,Jaipur,2026-01-27
ORD1169,Air Fryer,Home Appliances,1,6596.28,Jaipur,2026-05-03
ORD1170,Mixer,Home Appliances,3,3279.05,Ahmedabad,2026-03-06
ORD1171,Air Fryer,Home Appliances,4,5998.31,Mumbai,2026-04-13
ORD1172,Mixer,Home Appliances,1,3553.91,Ahmedabad,2026-02-08
ORD1173,Headphones,Electronics,5,2397.62,Mumbai,2026-03-05
ORD1174,Smartphone,Electronics,5,18952.0,Kolkata,2026-06-02
ORD1175,Jeans,Fashion,5,1889.33,Surat,2026-04-08
ORD1176,Mixer,Home Appliances,4,3358.15,Kolkata,2026-04-20
ORD1177,T-Shirt,Fashion,5,818.34,Kolkata,2026-01-26
ORD1178,Jeans,Fashion,2,2049.18,Hyderabad,2026-06-19
ORD1179,Smartphone,Electronics,2,17063.51,Surat,2026-01-20
ORD1180,Headphones,Electronics,1,2159.75,Kolkata,2026-05-01
ORD1181,T-Shirt,Fashion,1,756.09,Hyderabad,2026-06-29
ORD1182,Air Fryer,Home Appliances,4,5942.53,Bangalore,2026-03-09
ORD1183,Jeans,Fashion,5,2063.44,Bangalore,2026-04-19
ORD1184,Smartphone,Electronics,5,17009.31,Delhi,2026-03-10
ORD1185,Air Fryer,Home Appliances,2,5942.83,Delhi,2026-03-20
ORD1186,Book,Books,5,487.91,Jaipur,2026-02-01
ORD1187,Mixer,Home Appliances,3,3639.81,Hyderabad,2026-05-09
ORD1188,Coffee Maker,Home Appliances,4,4147.72,Kolkata,2026-01-11
ORD1189,Watch,Accessories,3,5102.69,Ahmedabad,2026-01-24
ORD1190,Keyboard,Electronics,5,1526.14,Ahmedabad,2026-06-22
ORD1191,Air Fryer,Home Appliances,3,6599.12,Delhi,2026-05-01
ORD1192,Coffee Maker,Home Appliances,4,4549.5,Delhi,2026-05-30
ORD1193,Watch,Accessories,4,5467.96,Jaipur,2026-03-31
ORD1194,Watch,Accessories,3,4820.09,Mumbai,2026-02-11
ORD1195,Shoes,Fashion,4,2595.8,Hyderabad,2026-06-19
ORD1196,Watch,Accessories,5,4535.79,Mumbai,2026-03-22
ORD1197,T-Shirt,Fashion,3,737.62,Chennai,2026-05-12
ORD1198,Air Fryer,Home Appliances,1,6704.96,Surat,2026-04-29
ORD1199,Watch,Accessories,1,4686.65,Pune,2026-06-09
ORD1200,Jeans,Fashion,4,2049.14,Ahmedabad,2026-02-22
ORD1201,T-Shirt,Fashion,5,740.04,Hyderabad,2026-04-23
ORD1202,Tablet,Electronics,4,25879.99,Kolkata,2026-03-03
ORD1203,Tablet,Electronics,2,26940.2,Ahmedabad,2026-05-22
ORD1204,Watch,Accessories,1,4723.76,Mumbai,2026-04-29
ORD1205,Smartphone,Electronics,2,17994.15,Hyderabad,2026-05-11
ORD1206,Tablet,Electronics,3,27526.75,Jaipur,2026-05-01
ORD1207,Keyboard,Electronics,4,1515.38,Chennai,2026-02-18
ORD1208,Book,Books,5,472.17,Delhi,2026-01-18
ORD1209,T-Shirt,Fashion,4,773.41,Surat,2026-03-10
ORD1210,Air Fryer,Home Appliances,1,6217.69,Hyderabad,2026-05-31
ORD1211,Book,Books,4,482.87,Jaipur,2026-05-18
ORD1212,Mixer,Home Appliances,3,3382.71,Surat,2026-04-07
ORD1213,Mixer,Home Appliances,3,3758.72,Bangalore,2026-05-27
ORD1214,Watch,Accessories,2,5354.94,Chennai,2026-01-12
ORD1215,Shoes,Fashion,4,2601.57,Chennai,2026-04-09
ORD1216,Backpack,Accessories,2,1798.32,Ahmedabad,2026-02-02
ORD1217,Coffee Maker,Home Appliances,5,4058.88,Mumbai,2026-04-23
ORD1218,Smartphone,Electronics,5,19477.59,Ahmedabad,2026-02-06
ORD1219,Watch,Accessories,2,4573.91,Hyderabad,2026-03-28
ORD1220,Book,Books,4,463.49,Pune,2026-06-22
ORD1221,Air Fryer,Home Appliances,5,6344.01,Pune,2026-06-10
ORD1222,Tablet,Electronics,4,30085.34,Ahmedabad,2026-06-08
ORD1223,Smartphone,Electronics,2,18472.18,Hyderabad,2026-02-28
ORD1224,Tablet,Electronics,1,27630.24,Mumbai,2026-06-12
ORD1225,Tablet,Electronics,1,27684.6,Hyderabad,2026-01-08
ORD1226,Laptop,Electronics,3,58257.58,Hyderabad,2026-04-02
ORD1227,Shoes,Fashion,4,2321.86,Surat,2026-04-16
ORD1228,Book,Books,2,420.3,Mumbai,2026-06-06
ORD1229,Air Fryer,Home Appliances,4,6655.62,Bangalore,2026-05-08
ORD1230,Book,Books,2,425.9,Hyderabad,2026-04-28
ORD1231,T-Shirt,Fashion,1,862.75,Jaipur,2026-03-15
ORD1232,Backpack,Accessories,5,1676.87,Jaipur,2026-03-30
ORD1233,Book,Books,3,462.5,Chennai,2026-06-26
ORD1234,T-Shirt,Fashion,4,854.18,Bangalore,2026-04-09
ORD1235,Air Fryer,Home Appliances,4,5988.65,Chennai,2026-05-27
ORD1236,Shoes,Fashion,5,2396.98,Hyderabad,2026-01-06
ORD1237,Air Fryer,Home Appliances,4,6206.82,Kolkata,2026-06-25
ORD1238,Jeans,Fashion,1,2163.16,Jaipur,2026-03-15
ORD1239,Jeans,Fashion,2,2041.8,Pune,2026-02-26
ORD1240,Backpack,Accessories,2,1843.52,Delhi,2026-06-10
ORD1241,Smartphone,Electronics,1,17312.16,Jaipur,2026-01-09
ORD1242,Book,Books,3,470.91,Mumbai,2026-03-17
ORD1243,Shoes,Fashion,4,2336.88,Delhi,2026-05-19
ORD1244,Shoes,Fashion,5,2499.9,Hyderabad,2026-02-12
ORD1245,T-Shirt,Fashion,4,873.69,Hyderabad,2026-03-28
ORD1246,Jeans,Fashion,1,1986.34,Mumbai,2026-02-06
ORD1247,Jeans,Fashion,2,2142.98,Chennai,2026-05-23
ORD1248,Shoes,Fashion,1,2644.28,Ahmedabad,2026-03-09
ORD1249,Coffee Maker,Home Appliances,1,4162.02,Hyderabad,2026-05-30
ORD1250,Watch,Accessories,3,4607.42,Bangalore,2026-05-01
ORD1251,Laptop,Electronics,5,59226.58,Surat,2026-03-25
ORD1252,Book,Books,2,463.29,Jaipur,2026-06-29
ORD1253,T-Shirt,Fashion,4,737.74,Ahmedabad,2026-01-10
ORD1254,T-Shirt,Fashion,4,737.66,Bangalore,2026-05-18
ORD1255,Headphones,Electronics,4,2179.6,Surat,2026-04-18
ORD1256,Book,Books,2,484.69,Mumbai,2026-05-06
ORD1257,Book,Books,4,489.51,Hyderabad,2026-01-09
ORD1258,Tablet,Electronics,3,26416.71,Jaipur,2026-03-02
ORD1259,Air Fryer,Home Appliances,3,5979.16,Pune,2026-05-20
ORD1260,Backpack,Accessories,3,1641.8,Hyderabad,2026-02-18
ORD1261,Smartphone,Electronics,4,16530.02,Bangalore,2026-06-14
ORD1262,Backpack,Accessories,5,1969.59,Ahmedabad,2026-03-27
ORD1263,Keyboard,Electronics,2,1586.09,Bangalore,2026-01-18
ORD1264,Air Fryer,Home Appliances,5,6119.3,Bangalore,2026-03-01
ORD1265,Shoes,Fashion,2,2643.26,Kolkata,2026-01-01
ORD1266,T-Shirt,Fashion,2,876.91,Surat,2026-03-06
ORD1267,Jeans,Fashion,2,1843.05,Ahmedabad,2026-02-03
ORD1268,Laptop,Electronics,3,58189.83,Bangalore,2026-05-31
ORD1269,Shoes,Fashion,1,2336.19,Ahmedabad,2026-02-02
ORD1270,Tablet,Electronics,4,28146.08,Mumbai,2026-05-02
ORD1271,Mixer,Home Appliances,3,3509.27,Mumbai,2026-04-26
ORD1272,Coffee Maker,Home Appliances,2,4574.15,Ahmedabad,2026-06-18
ORD1273,Coffee Maker,Home Appliances,3,4164.76,Ahmedabad,2026-01-16
ORD1274,Mixer,Home Appliances,4,3448.39,Mumbai,2026-05-06
ORD1275,Tablet,Electronics,4,25611.55,Mumbai,2026-03-24
ORD1276,Book,Books,2,410.91,Hyderabad,2026-06-09
ORD1277,Backpack,Accessories,5,1817.41,Pune,2026-04-08
ORD1278,Book,Books,5,431.54,Surat,2026-06-04
ORD1279,Watch,Accessories,1,5292.04,Mumbai,2026-06-17
ORD1280,Backpack,Accessories,5,1879.5,Bangalore,2026-04-21
ORD1281,Mixer,Home Appliances,2,3439.67,Jaipur,2026-04-13
ORD1282,Watch,Accessories,1,4811.59,Pune,2026-06-20
ORD1283,T-Shirt,Fashion,3,871.48,Jaipur,2026-01-18
ORD1284,Smartphone,Electronics,1,16535.63,Mumbai,2026-04-06
ORD1285,Jeans,Fashion,2,2021.54,Kolkata,2026-05-24
ORD1286,Coffee Maker,Home Appliances,3,4342.81,Chennai,2026-04-01
ORD1287,Air Fryer,Home Appliances,4,6978.52,Ahmedabad,2026-03-15
ORD1288,Book,Books,3,436.65,Kolkata,2026-05-10
ORD1289,Keyboard,Electronics,2,1547.02,Bangalore,2026-01-28
ORD1290,Shoes,Fashion,5,2432.81,Hyderabad,2026-05-27
ORD1291,Keyboard,Electronics,4,1603.55,Kolkata,2026-06-07
ORD1292,Backpack,Accessories,5,1629.45,Hyderabad,2026-01-08
ORD1293,Headphones,Electronics,3,2289.19,Hyderabad,2026-03-28
ORD1294,Shoes,Fashion,1,2339.77,Delhi,2026-05-25
ORD1295,Backpack,Accessories,4,1645.05,Ahmedabad,2026-01-24
ORD1296,Tablet,Electronics,5,26404.74,Chennai,2026-04-27
ORD1297,Shoes,Fashion,2,2434.05,Pune,2026-05-26
ORD1298,Book,Books,1,484.5,Delhi,2026-02-10
ORD1299,Jeans,Fashion,5,1819.0,Mumbai,2026-03-11
ORD1300,Mixer,Home Appliances,4,3489.96,Jaipur,2026-04-17
ORD1301,T-Shirt,Fashion,2,839.74,Mumbai,2026-03-30
ORD1302,Watch,Accessories,1,4782.29,Kolkata,2026-05-05
ORD1303,Coffee Maker,Home Appliances,3,3818.15,Chennai,2026-06-03
ORD1304,Laptop,Electronics,1,51748.65,Bangalore,2026-02-05
ORD1305,Jeans,Fashion,3,1914.82,Mumbai,2026-01-02
ORD1306,Mixer,Home Appliances,4,3272.99,Chennai,2026-05-17
ORD1307,Tablet,Electronics,2,28001.47,Pune,2026-01-19
ORD1308,Watch,Accessories,1,4935.23,Jaipur,2026-01-20
ORD1309,Air Fryer,Home Appliances,3,6598.49,Kolkata,2026-04-14
ORD1310,Tablet,Electronics,4,26821.29,Chennai,2026-01-06
ORD1311,Shoes,Fashion,2,2649.6,Kolkata,2026-04-28
ORD1312,Air Fryer,Home Appliances,3,5964.57,Mumbai,2026-03-04
ORD1313,Watch,Accessories,5,4899.47,Mumbai,2026-04-12
ORD1314,Air Fryer,Home Appliances,3,6819.55,Bangalore,2026-03-27
ORD1315,Jeans,Fashion,2,1829.64,Mumbai,2026-05-16
ORD1316,Coffee Maker,Home Appliances,2,4540.98,Pune,2026-03-31
ORD1317,Tablet,Electronics,2,26523.11,Delhi,2026-03-07
ORD1318,Keyboard,Electronics,2,1530.72,Mumbai,2026-02-15
ORD1319,Jeans,Fashion,4,1984.59,Kolkata,2026-05-29
ORD1320,Mixer,Home Appliances,5,3600.09,Kolkata,2026-03-24
ORD1321,Air Fryer,Home Appliances,3,6046.24,Mumbai,2026-05-01
ORD1322,Mixer,Home Appliances,3,3707.43,Kolkata,2026-01-15
ORD1323,Shoes,Fashion,5,2286.18,Jaipur,2026-04-26
ORD1324,Laptop,Electronics,1,53556.11,Hyderabad,2026-01-20
ORD1325,Backpack,Accessories,1,1841.4,Surat,2026-04-09
ORD1326,Mixer,Home Appliances,5,3538.02,Ahmedabad,2026-04-26
ORD1327,Jeans,Fashion,5,2059.7,Pune,2026-06-04
ORD1328,Mixer,Home Appliances,5,3255.6,Ahmedabad,2026-04-26
ORD1329,Smartphone,Electronics,3,19736.59,Mumbai,2026-05-10
ORD1330,Backpack,Accessories,2,1634.09,Jaipur,2026-04-23
ORD1331,Coffee Maker,Home Appliances,5,4292.24,Pune,2026-04-06
ORD1332,T-Shirt,Fashion,4,784.42,Pune,2026-06-23
ORD1333,Book,Books,1,476.03,Pune,2026-01-17
ORD1334,Shoes,Fashion,1,2527.97,Chennai,2026-03-14
